707	302	11
371	75	207
1546	840	351
1540	798	692
2070	1857	502
94	433	223
406	1413	249
1846	475	320
1057	209	365
1542	56	404
780	9991	34
1741	716	186
119	917	142
756	1958	22
1813	464	270
1939	8400	1882
1639	6282	361
1070	501	156
330	1249	130
1219	300	514
1765	56	67
1541	998	88
111	2813	798
218	2192	160
107	1348	2512
54	465	43
806	10211	518
46	306	1989
1892	4155	89
1778	237	499
96	2551	44
1562	230	490
822	4108	990
354	288	13
409	706	25
1914	11124	297
1073	1244	248
1282	5925	266
2033	292	1978
1880	180	145
1793	547	740
2078	18580	820
1372	498	278
1899	526	252
1719	16257	116
787	7776	70
971	6120	200
1759	816	356
1808	5988	424
2095	18677	82
288	1816	941
1367	757	230
927	6382	445
1864	4251	34
1665	1586	1
124	1061	270
805	9333	535
1469	707	30
1912	2247	164
134	2543	362
603	1400	252
1605	9718	117
1931	733	29
814	229	281
1087	12221	338
294	5353	69
999	1118	223
712	1048	1
957	276	671
1753	295	100
78	154	117
2000	11139	8769
851	289	4124
1398	394	559
261	1863	761
2010	533	786
1522	733	49
939	11225	949
1823	182	196
392	6455	48
1795	686	212
1395	199	113
1608	689	45
1403	3171	419
1687	4512	134
1496	155	110
2039	18367	362
984	352	918
1396	3470	117
166	88	74
2013	18223	266
940	11232	742
30	1052	158
131	3142	150
1912	5677	182
447	7018	521
385	1377	1167
94	1958	73
340	5849	268
891	10858	182
1568	306	380
616	3717	202
1247	349	405
1842	488	247
2058	1076	22
907	1464	274
832	3940	117
489	6950	1091
1009	11793	8
1860	8696	316
291	5270	76
1414	1181	357
79	291	111
810	2298	34
1071	378	205
850	10634	782
1827	14292	1211
784	445	578
849	2363	361
186	466	99
514	3196	184
269	7	18
1118	2574	318
2004	7	219
1620	632	745
507	7524	679
1178	455	738
853	707	351
669	3404	148
934	1369	118
517	604	176
1030	8947	771
1248	13448	51
914	1292	870
2070	2788	521
637	8774	36
2058	349	39
2038	288	1485
134	468	33
1847	17043	7
191	66	17
708	1202	14
578	1043	104
1842	5421	100
966	300	401
886	3124	232
1281	9344	7
1381	1379	77
913	982	471
427	6775	317
1726	466	446
1347	14013	24
1290	1687	2
1274	1358	136
631	154	661
1759	3719	564
1104	157	501
697	5360	678
2015	188	5260
694	5260	919
517	2292	137
1294	11717	106
334	1866	275
1089	2041	277
152	325	344
1769	349	94
1532	155	951
1312	13769	129
50	706	251
1151	813	377
1200	154	157
12	509	1434
985	498	498
1313	2582	344
964	3462	78
1605	295	140
470	318	657
1050	1969	798
412	2176	54
1834	528	2
444	6978	80
1971	10759	2526
1491	524	651
2100	18728	281
1184	3069	143
201	333	68
1323	1239	166
141	163	36
1617	15584	259
629	2364	422
1803	326	112
1217	5437	454
228	197	13
873	300	1150
1009	966	69
1343	51	14
1222	1459	701
862	901	380
1396	163	509
148	3359	183
1255	173	1437
1743	2214	4227
584	356	4530
1666	323	2268
186	498	1125
1462	3186	318
611	2587	8
673	3459	270
1136	293	117
439	6895	1030
1860	1339	616
1323	498	1078
1380	173	536
1353	1200	347
477	349	134
1416	554	263
395	1281	88
1925	1863	157
380	1937	580
2087	289	1356
1864	1426	25
334	1406	2175
1351	470	331
1608	903	103
1072	701	1308
1983	532	64
529	1468	519
103	1388	36
1829	3377	314
1925	1866	109
678	706	121
21	686	764
81	2222	338
1829	2521	398
1340	4194	302
1294	301	34
159	296	2094
781	294	162
1396	2013	83
1903	310	221
1089	32	518
2079	536	154
2006	772	286
1707	2029	35
1868	1372	220
2011	1511	48
842	619	209
592	450	2074
939	832	478
1882	17350	157
760	227	8816
1093	1177	60
1434	155	819
2084	8713	2793
170	1044	643
101	1041	632
1196	13059	201
2051	18433	1
185	3921	26
428	1062	1275
704	9397	8
